Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Age,Item_Outlet_Sales
11.6,Regular,0.078929571,Frozen Foods,79.9276,Small,Tier 1,Supermarket Type1,Foods,16.0,1137.1864
21.0,Low Fat,0.049583899,Snack Foods,193.8478,Small,Tier 2,Supermarket Type1,Foods,6.0,1162.4868
9.8,Low Fat,0.04714777,Baking Goods,102.4016,High,Tier 3,Supermarket Type1,Foods,26.0,1720.4272
17.85,Low Fat,0.091354948,Snack Foods,122.3072,Small,Tier 1,Grocery Store,Foods,28.0,122.5072
7.855,Regular,0.06612697072361393,Baking Goods,38.3848,Small,Tier 1,Supermarket Type1,Foods,16.0,932.12
7.905,Low Fat,0.010027885,Snack Foods,249.6408,Medium,Tier 1,Supermarket Type1,Foods,14.0,3254.4304
10.0,Non Edible,0.021468792,Household,251.675,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,4244.475
8.02,Non Edible,0.019901356,Household,157.5972,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,3427.5384
15.85,Non Edible,0.020388413,Household,44.4112,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,767.0016
5.465,Regular,0.06612697072361393,Baking Goods,132.5626,Medium,Tier 3,Supermarket Type2,Foods,4.0,262.3252
15.0,Low Fat,0.058346234,Snack Foods,44.0744,High,Tier 3,Supermarket Type1,Foods,26.0,633.8416
8.71,Low Fat,0.1867,Canned,92.2778,Small,Tier 1,Grocery Store,Foods,28.0,469.389
19.6,Low Fat,0.056744064,Soft Drinks,55.6614,Small,Tier 3,Grocery Store,Drinks,15.0,165.7842
9.6,Low Fat,0.161182103,Soft Drinks,165.3158,Small,Tier 3,Grocery Store,Drinks,15.0,334.2316
6.825,Regular,0.046408928,Canned,153.2998,Medium,Tier 3,Supermarket Type3,Foods,28.0,3998.7948
17.85,Low Fat,0.074422769,Snack Foods,128.002,Small,Tier 3,Grocery Store,Foods,15.0,253.004
21.25,Non Edible,0.024693927,Household,144.1102,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,1749.7224
8.39,Non Edible,0.1867,Household,162.8868,Small,Tier 3,Grocery Store,Non Consumables,15.0,327.5736
7.435,Low Fat,0.123338082,Starchy Foods,206.1638,Medium,Tier 3,Supermarket Type2,Foods,4.0,1656.5104
17.75,Regular,0.157470693,Dairy Foods,239.1538,Medium,Tier 3,Supermarket Type2,Foods,4.0,4326.3684
10.8,Low Fat,0.052363244,Soft Drinks,236.5564,Small,Tier 2,Supermarket Type1,Drinks,6.0,5243.8408
12.35,Regular,0.059110912,Meat,199.3426,Small,Tier 1,Grocery Store,Foods,28.0,395.4852
8.775,Low Fat,0.021647195,Fruits and Vegetables,109.5228,Small,Tier 2,Supermarket Type1,Foods,11.0,994.7052
13.65,Low Fat,0.04929502,Fruits and Vegetables,150.505,Medium,Tier 1,Supermarket Type1,Foods,14.0,2696.49
14.3,Low Fat,0.026299797,Frozen Foods,79.4302,High,Tier 3,Supermarket Type1,Foods,26.0,1743.0644
11.6,Regular,0.156072361,Breakfast,169.3474,Medium,Tier 3,Supermarket Type3,Foods,28.0,3874.2902
6.305,Regular,0.122519571,Snack Foods,93.0436,Medium,Tier 3,Supermarket Type3,Foods,28.0,2363.59
7.17,Regular,0.059716729,Fruits and Vegetables,130.9968,Small,Tier 2,Supermarket Type1,Foods,9.0,2348.9424
11.15,Regular,0.085931544,Snack Foods,169.679,Small,Tier 1,Supermarket Type1,Foods,16.0,1018.674
21.1,Regular,0.020760673,Breakfast,128.7994,Small,Tier 2,Supermarket Type1,Foods,11.0,1798.9916
11.1,Regular,0.06612697072361393,Fruits and Vegetables,165.5526,Medium,Tier 3,Supermarket Type2,Foods,4.0,1973.4312
8.27,Regular,0.127821472,Soft Drinks,185.9924,High,Tier 3,Supermarket Type1,Drinks,26.0,555.2772
9.3,Low Fat,0.11184963,Breads,64.6826,Small,Tier 2,Supermarket Type1,Foods,6.0,774.9912
7.155,Regular,0.168527463,Breads,33.6874,Small,Tier 2,Supermarket Type1,Foods,11.0,1023.3346
16.1,Regular,0.158954903,Frozen Foods,34.9558,Medium,Tier 3,Supermarket Type3,Foods,28.0,1120.5414
6.8,Low Fat,0.062762374,Baking Goods,50.4034,Small,Tier 3,Grocery Store,Foods,15.0,48.6034
12.85,Low Fat,0.137441201,Snack Foods,157.663,Medium,Tier 1,Supermarket Type1,Foods,14.0,2659.871
20.5,Regular,0.019277945,Frozen Foods,82.8592,Medium,Tier 3,Supermarket Type2,Foods,4.0,1733.7432
18.0,Low Fat,0.008499464,Baking Goods,81.3618,Medium,Tier 3,Supermarket Type3,Foods,28.0,1530.6742
6.465,Low Fat,0.06612697072361393,Canned,263.1884,Medium,Tier 3,Supermarket Type2,Foods,4.0,2914.8724
17.0,Non Edible,0.091411749,Health and Hygiene,121.373,Small,Tier 1,Grocery Store,Non Consumables,28.0,369.519
14.15,Low Fat,0.038123176,Starchy Foods,123.5046,Small,Tier 2,Supermarket Type1,Foods,6.0,1992.0736
9.1,Low Fat,0.174085625,Baking Goods,124.6362,Small,Tier 2,Supermarket Type1,Foods,9.0,2390.8878
9.695,Non Edible,0.1867,Health and Hygiene,159.1604,Small,Tier 3,Grocery Store,Non Consumables,15.0,633.8416
10.3,Low Fat,0.027183141,Fruits and Vegetables,99.7042,Medium,Tier 3,Supermarket Type3,Foods,28.0,3868.9638
5.465,Regular,0.06612697072361393,Baking Goods,129.1626,Small,Tier 1,Supermarket Type1,Foods,16.0,3672.5528
17.75,Low Fat,0.014568036,Fruits and Vegetables,158.1262,High,Tier 3,Supermarket Type1,Foods,26.0,4137.2812
10.5,Non Edible,0.02727641,Household,171.3106,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,3593.3226
16.85,Regular,0.06612697072361393,Snack Foods,110.0544,Medium,Tier 1,Supermarket Type1,Foods,14.0,2572.6512
7.67,Non Edible,0.184689756,Household,35.4216,High,Tier 3,Supermarket Type1,Non Consumables,26.0,450.0808
21.35,Low Fat,0.068765205,Canned,260.4278,High,Tier 3,Supermarket Type1,Foods,26.0,3644.5892
15.0,Low Fat,0.153861181,Starchy Foods,108.5938,High,Tier 3,Supermarket Type1,Foods,26.0,1393.5194
12.65,Low Fat,0.062837968,Soft Drinks,161.5578,High,Tier 3,Supermarket Type1,Drinks,26.0,2406.867
10.5,Non Edible,0.011351778,Household,236.5248,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,4029.4216
12.8,Non Edible,0.152377658,Others,108.1938,Small,Tier 3,Grocery Store,Non Consumables,15.0,428.7752
8.195,Low Fat,0.06612697072361393,Baking Goods,93.1462,Medium,Tier 3,Supermarket Type2,Foods,4.0,647.8234
20.85,Low Fat,0.032442388,Baking Goods,178.366,Small,Tier 2,Supermarket Type1,Foods,9.0,4673.916
6.65,Low Fat,0.053397989,Canned,149.3734,Small,Tier 2,Supermarket Type1,Foods,11.0,296.9468
16.75,Regular,0.014998914,Meat,72.4038,Small,Tier 1,Grocery Store,Foods,28.0,221.7114
20.25,Regular,0.012063121,Canned,183.5924,Small,Tier 2,Supermarket Type1,Foods,6.0,2406.2012
19.35,Regular,0.057762301,Fruits and Vegetables,237.3564,Medium,Tier 3,Supermarket Type3,Foods,28.0,2145.2076
12.1,Low Fat,0.040323731,Fruits and Vegetables,180.0002,High,Tier 3,Supermarket Type1,Foods,26.0,4656.6052
14.0,Regular,0.037580877,Frozen Foods,162.6526,Medium,Tier 1,Supermarket Type1,Foods,14.0,4275.7676
11.85,Regular,0.050085152,Fruits and Vegetables,164.7526,Small,Tier 1,Supermarket Type1,Foods,16.0,1315.6208
4.59,Low Fat,0.070780558,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,Drinks,16.0,1245.046
17.0,Regular,0.138846289,Canned,263.7884,Medium,Tier 3,Supermarket Type3,Foods,28.0,1324.942
8.89,Low Fat,0.005485618,Frozen Foods,99.3016,Small,Tier 2,Supermarket Type1,Foods,11.0,607.2096
8.21,Low Fat,0.044925784,Dairy Foods,86.0198,Small,Tier 1,Supermarket Type1,Foods,16.0,1569.9564
7.96,Low Fat,0.028357839,Canned,163.2894,Small,Tier 2,Supermarket Type1,Foods,9.0,4530.1032
13.5,Non Edible,0.07266912,Household,160.292,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,1438.128
10.895,Regular,0.032296886,Frozen Foods,144.0102,Medium,Tier 3,Supermarket Type3,Foods,28.0,5394.9774
9.695,Regular,0.12848269,Baking Goods,223.9404,Medium,Tier 1,Supermarket Type1,Foods,14.0,4950.8888
18.6,Low Fat,0.048160824,Snack Foods,188.9898,Small,Tier 2,Supermarket Type1,Foods,6.0,3554.7062
6.55,Low Fat,0.042941559,Breads,102.9332,Small,Tier 1,Grocery Store,Foods,28.0,102.5332
6.825,Regular,0.046729336,Canned,153.4998,Small,Tier 2,Supermarket Type1,Foods,11.0,2153.1972
7.075,Low Fat,0.022566975,Frozen Foods,97.3068,Small,Tier 1,Supermarket Type1,Foods,16.0,1263.6884
16.25,Low Fat,0.087310672,Dairy Foods,95.541,Medium,Tier 1,Supermarket Type1,Foods,14.0,1544.656
6.115,Regular,0.007038478,Soft Drinks,189.253,High,Tier 3,Supermarket Type1,Drinks,26.0,3605.307
12.8,Low Fat,0.06961884,Starchy Foods,260.3252,Small,Tier 1,Supermarket Type1,Foods,16.0,8132.0812
21.25,Low Fat,0.155350299,Snack Foods,178.237,Small,Tier 2,Supermarket Type1,Foods,9.0,529.311
6.96,Low Fat,0.077193561,Soft Drinks,89.9146,Small,Tier 1,Supermarket Type1,Drinks,16.0,1277.0044
18.2,Non Edible,0.097865088,Household,221.8456,Small,Tier 3,Grocery Store,Non Consumables,15.0,884.1824
18.7,Low Fat,0.088839949,Snack Foods,254.2672,Medium,Tier 3,Supermarket Type3,Foods,28.0,10993.6896
16.7,Regular,0.06612697072361393,Starchy Foods,63.6168,Medium,Tier 1,Supermarket Type1,Foods,14.0,1342.2528
6.195,Low Fat,0.072131519,Snack Foods,120.1098,Small,Tier 2,Supermarket Type1,Foods,11.0,2892.2352
21.1,Non Edible,0.010593469,Household,234.2958,High,Tier 3,Supermarket Type1,Non Consumables,26.0,3739.1328
7.035,Low Fat,0.06612697072361393,Frozen Foods,263.291,Small,Tier 3,Grocery Store,Foods,15.0,525.982
20.85,Low Fat,0.121227447,Snack Foods,197.5452,Small,Tier 2,Supermarket Type1,Foods,9.0,4306.3944
12.1,Low Fat,0.147663025,Fruits and Vegetables,106.028,Medium,Tier 3,Supermarket Type3,Foods,28.0,1810.976
12.65,Regular,0.156286566,Fruits and Vegetables,238.9538,Medium,Tier 1,Supermarket Type1,Foods,14.0,4086.0146
11.1,Low Fat,0.059797172,Fruits and Vegetables,151.8366,High,Tier 3,Supermarket Type1,Foods,26.0,1057.9562
16.6,Low Fat,0.06612697072361393,Hard Drinks,171.7422,Medium,Tier 3,Supermarket Type3,Drinks,28.0,6207.9192
7.36,Low Fat,0.052312034,Frozen Foods,58.5588,Small,Tier 1,Supermarket Type1,Foods,16.0,801.6232
9.035,Regular,0.174450933,Meat,151.0708,Small,Tier 2,Supermarket Type1,Foods,6.0,2708.4744
8.38,Regular,0.04688734,Baking Goods,107.957,Small,Tier 1,Supermarket Type1,Foods,16.0,2966.139
8.315,Regular,0.035572183,Baking Goods,144.4444,Small,Tier 1,Supermarket Type1,Foods,16.0,2902.888
10.695,Regular,0.10154201,Breakfast,173.7712,Small,Tier 3,Grocery Store,Foods,15.0,175.7712
13.5,Low Fat,0.06082246,Baking Goods,85.154,Small,Tier 2,Supermarket Type1,Foods,6.0,605.878
15.1,Low Fat,0.172641213,Snack Foods,195.111,Medium,Tier 3,Supermarket Type3,Foods,28.0,5303.097
10.65,Non Edible,0.048677482,Others,166.1526,Small,Tier 2,Supermarket Type1,Non Consumables,9.0,2466.789
9.6,Low Fat,0.096689673,Soft Drinks,168.0158,Medium,Tier 3,Supermarket Type2,Drinks,4.0,1336.9264
13.15,Non Edible,0.155105614,Household,157.2604,Small,Tier 3,Grocery Store,Non Consumables,15.0,316.9208
14.0,Regular,0.060134441,Frozen Foods,153.0656,Medium,Tier 3,Supermarket Type3,Foods,28.0,6024.1584
18.35,Low Fat,0.099309997,Fruits and Vegetables,91.4462,Small,Tier 2,Supermarket Type1,Foods,11.0,1665.8316
12.35,Regular,0.1867,Baking Goods,79.2328,Small,Tier 3,Grocery Store,Foods,15.0,154.4656
8.785,Low Fat,0.020693619,Soft Drinks,153.1656,Small,Tier 2,Supermarket Type1,Drinks,6.0,1853.5872
14.0,Regular,0.060768862,Frozen Foods,154.8656,Small,Tier 2,Supermarket Type1,Foods,6.0,1390.1904
9.3,Non Edible,0.074753743,Household,246.4802,Small,Tier 3,Grocery Store,Non Consumables,15.0,982.7208
6.695,Low Fat,0.03408026,Frozen Foods,220.8456,Medium,Tier 3,Supermarket Type2,Foods,4.0,5084.0488
21.1,Regular,0.020803054,Breakfast,129.7994,Medium,Tier 3,Supermarket Type2,Foods,4.0,1284.994
7.935,Low Fat,0.06612697072361393,Dairy Foods,51.235,Small,Tier 1,Grocery Store,Foods,28.0,49.935
10.1,Regular,0.053692878,Fruits and Vegetables,222.9088,Small,Tier 2,Supermarket Type1,Foods,11.0,5145.3024
19.6,Regular,0.1867,Snack Foods,168.8816,Small,Tier 1,Grocery Store,Foods,28.0,167.7816
10.8,Non Edible,0.041865848,Health and Hygiene,189.7214,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,5841.0634
15.1,Non Edible,0.055840055,Household,139.8496,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,1411.496
5.035,Regular,0.080362549,Breads,229.0036,Small,Tier 2,Supermarket Type1,Foods,6.0,4326.3684
19.1,Non Edible,0.15385153,Others,185.1608,Small,Tier 3,Grocery Store,Non Consumables,15.0,551.2824
17.0,Low Fat,0.1867,Fruits and Vegetables,170.2106,Small,Tier 1,Grocery Store,Foods,28.0,171.1106
16.35,Low Fat,0.032381325,Meat,166.1842,Medium,Tier 3,Supermarket Type3,Foods,28.0,5470.8786
8.26,Low Fat,0.034544435,Hard Drinks,116.0834,Medium,Tier 3,Supermarket Type2,Drinks,4.0,1267.0174
7.05,Low Fat,0.1422157,Snack Foods,108.7912,Small,Tier 3,Grocery Store,Foods,15.0,109.1912
11.15,Low Fat,0.056656942,Baking Goods,106.2622,Medium,Tier 3,Supermarket Type3,Foods,28.0,2328.9684
14.3,Low Fat,0.122469209,Dairy Foods,121.973,High,Tier 3,Supermarket Type1,Foods,26.0,2709.806
8.93,Low Fat,0.028533032,Dairy Drinks,151.434,Medium,Tier 3,Supermarket Type2,Drinks,4.0,1225.072
20.85,Low Fat,0.037556341,Frozen Foods,195.3478,Medium,Tier 3,Supermarket Type2,Foods,4.0,1937.478
10.3,Regular,0.011072421,Snack Foods,85.354,Medium,Tier 3,Supermarket Type3,Foods,28.0,2077.296
15.0,Low Fat,0.153960209,Starchy Foods,105.9938,Small,Tier 2,Supermarket Type1,Foods,9.0,1179.1318
17.2,Regular,0.012002075,Canned,165.3184,High,Tier 3,Supermarket Type1,Foods,26.0,990.7104
11.0,Regular,0.06612697072361393,Frozen Foods,155.263,Medium,Tier 1,Supermarket Type1,Foods,14.0,625.852
5.485,Non Edible,0.042838514,Health and Hygiene,163.7842,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,1657.842
9.3,Low Fat,0.042530668,Hard Drinks,125.5388,Small,Tier 2,Supermarket Type1,Drinks,6.0,2848.2924
20.6,Regular,0.047896393,Fruits and Vegetables,185.8556,High,Tier 3,Supermarket Type1,Foods,26.0,1689.8004
7.475,Non Edible,0.076156245,Household,156.4656,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,2008.0528
18.2,Non Edible,0.102371638,Household,221.2456,Small,Tier 1,Grocery Store,Non Consumables,28.0,663.1368
15.0,Regular,0.091018048,Canned,60.2904,Small,Tier 3,Grocery Store,Foods,15.0,117.1808
9.3,Regular,0.033489979,Meat,156.6314,Medium,Tier 1,Supermarket Type1,Foods,14.0,1241.0512
13.15,Regular,0.037768989,Snack Foods,88.5856,Medium,Tier 3,Supermarket Type3,Foods,28.0,1845.5976
13.35,Regular,0.149669322,Snack Foods,180.266,Small,Tier 2,Supermarket Type1,Foods,11.0,898.83
7.405,Low Fat,0.02556185,Canned,89.7146,Small,Tier 3,Grocery Store,Foods,15.0,182.4292
10.195,Low Fat,0.112399145,Hard Drinks,111.686,Medium,Tier 1,Supermarket Type1,Drinks,14.0,2263.72
12.85,Low Fat,0.173324207,Frozen Foods,39.9164,Small,Tier 1,Grocery Store,Foods,28.0,38.6164
16.1,Low Fat,0.023673342,Soft Drinks,189.0846,Medium,Tier 3,Supermarket Type2,Drinks,4.0,5350.3688
9.06,Non Edible,0.009816092,Others,211.856,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,3621.952
4.635,Low Fat,0.141108156,Breads,128.2994,Medium,Tier 1,Supermarket Type1,Foods,14.0,2698.4874
11.35,Regular,0.045052492,Snack Foods,102.6016,Medium,Tier 1,Supermarket Type1,Foods,14.0,3137.2496
18.5,Regular,0.061955439,Frozen Foods,145.1418,Medium,Tier 3,Supermarket Type3,Foods,28.0,4561.3958
20.25,Regular,0.07614605,Dairy Foods,197.0794,Small,Tier 2,Supermarket Type1,Foods,9.0,4681.9056
11.0,Non Edible,0.037953762,Health and Hygiene,38.448,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,1198.44
6.885,Regular,0.139330557,Canned,109.5228,Medium,Tier 3,Supermarket Type3,Foods,28.0,3426.2068
7.145,Low Fat,0.017814518,Frozen Foods,159.8578,Medium,Tier 1,Supermarket Type1,Foods,14.0,2246.4092
20.0,Non Edible,0.058198141,Health and Hygiene,110.4544,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,4250.4672
20.6,Non Edible,0.045380404,Health and Hygiene,148.4392,High,Tier 3,Supermarket Type1,Non Consumables,26.0,1789.6704
17.35,Regular,0.146895866,Seafood,149.605,Medium,Tier 3,Supermarket Type2,Foods,4.0,3745.125
9.3,Low Fat,0.028638276,Baking Goods,195.8136,Medium,Tier 3,Supermarket Type2,Foods,4.0,2138.5496
17.0,Regular,0.026568875,Canned,142.047,Small,Tier 1,Supermarket Type1,Foods,16.0,3149.234
16.7,Regular,0.052517969,Frozen Foods,115.4176,Small,Tier 2,Supermarket Type1,Foods,11.0,687.1056
14.35,Low Fat,0.080203852,Baking Goods,77.996,Medium,Tier 3,Supermarket Type3,Foods,28.0,2716.464
11.0,Regular,0.13312044,Canned,221.5798,Small,Tier 2,Supermarket Type1,Foods,9.0,4187.2162
20.7,Low Fat,0.092834313,Dairy Drinks,77.667,Medium,Tier 1,Supermarket Type1,Drinks,14.0,2220.443
16.7,Low Fat,0.022110425,Dairy Foods,110.8886,Small,Tier 2,Supermarket Type1,Foods,11.0,3558.0352
13.3,Low Fat,0.063664998,Frozen Foods,151.6708,Medium,Tier 1,Supermarket Type1,Foods,14.0,3912.2408
6.235,Non Edible,0.118674359,Household,261.691,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,3155.892
9.695,Regular,0.128543405,Baking Goods,226.5404,Small,Tier 2,Supermarket Type1,Foods,11.0,4500.808
16.7,Non Edible,0.026491715,Household,247.2776,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,6191.94
12.15,Non Edible,0.06612697072361393,Household,117.815,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,2330.3
20.2,Non Edible,0.129983688,Household,93.0462,Small,Tier 1,Grocery Store,Non Consumables,28.0,185.0924
7.39,Non Edible,0.068163102,Health and Hygiene,140.4812,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,2422.1804
6.67,Regular,0.06612697072361393,Snack Foods,133.0626,Medium,Tier 1,Supermarket Type1,Foods,14.0,1573.9512
20.6,Regular,0.030362777,Dairy Foods,210.5244,Medium,Tier 3,Supermarket Type3,Foods,28.0,6775.1808
7.905,Low Fat,0.010012319,Snack Foods,250.4408,Small,Tier 1,Supermarket Type1,Foods,16.0,3004.0896
5.88,Low Fat,0.003599378,Hard Drinks,152.2998,Small,Tier 2,Supermarket Type1,Drinks,11.0,3075.996
9.1,Non Edible,0.134393836,Household,48.0718,Small,Tier 3,Grocery Store,Non Consumables,15.0,47.2718
11.65,Low Fat,0.040744057,Fruits and Vegetables,185.924,Small,Tier 2,Supermarket Type1,Foods,6.0,4101.328
10.5,Low Fat,0.071368699,Frozen Foods,121.3098,Medium,Tier 1,Supermarket Type1,Foods,14.0,1446.1176
21.35,Low Fat,0.130127365,Fruits and Vegetables,96.2094,Small,Tier 3,Grocery Store,Foods,15.0,190.4188
20.6,Regular,0.046208155,Snack Foods,178.0344,Medium,Tier 3,Supermarket Type2,Foods,4.0,1605.9096
6.3,Low Fat,0.127968205,Canned,209.627,Medium,Tier 3,Supermarket Type2,Foods,4.0,3984.813
20.7,Low Fat,0.09261307,Dairy Drinks,76.367,High,Tier 3,Supermarket Type1,Drinks,26.0,306.268
18.1,Non Edible,0.048931174,Household,127.3336,Small,Tier 2,Supermarket Type1,Non Consumables,9.0,1150.5024
10.3,Regular,0.06612697072361393,Fruits and Vegetables,115.7176,Small,Tier 2,Supermarket Type1,Foods,6.0,1717.764
18.5,Regular,0.045463773,Dairy Foods,144.1102,Small,Tier 1,Supermarket Type1,Foods,16.0,2187.153
21.25,Non Edible,0.114066204,Health and Hygiene,233.03,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,5592.72
19.6,Low Fat,0.033901442,Soft Drinks,56.2614,Small,Tier 1,Supermarket Type1,Drinks,16.0,773.6596
6.89,Regular,0.136314863,Snack Foods,195.082,High,Tier 3,Supermarket Type1,Foods,26.0,2703.148
7.17,Regular,0.059438787,Fruits and Vegetables,130.9968,Medium,Tier 3,Supermarket Type3,Foods,28.0,4828.3816
17.85,Low Fat,0.06612697072361393,Frozen Foods,148.005,Medium,Tier 3,Supermarket Type2,Foods,4.0,898.83
6.135,Low Fat,0.079132212,Soft Drinks,112.686,Small,Tier 2,Supermarket Type1,Drinks,11.0,2942.836
19.75,Regular,0.018019662,Frozen Foods,181.566,Small,Tier 2,Supermarket Type1,Foods,9.0,2876.256
17.7,Regular,0.135646297,Starchy Foods,186.0924,Medium,Tier 3,Supermarket Type2,Foods,4.0,3516.7556
9.195,Regular,0.051366901,Baking Goods,77.0644,Medium,Tier 3,Supermarket Type3,Foods,28.0,3221.1404
13.0,Low Fat,0.153857402,Canned,76.3986,Medium,Tier 1,Supermarket Type1,Foods,14.0,778.986
15.6,Low Fat,0.171761077,Fruits and Vegetables,115.7518,Medium,Tier 3,Supermarket Type3,Foods,28.0,5351.0346
7.905,Low Fat,0.016758569,Snack Foods,250.4408,Small,Tier 3,Grocery Store,Foods,15.0,500.6816
7.59,Regular,0.144338493,Fruits and Vegetables,172.108,Medium,Tier 3,Supermarket Type3,Foods,28.0,4327.7
6.635,Regular,0.00636189,Baking Goods,121.1098,Small,Tier 2,Supermarket Type1,Foods,6.0,2651.2156
18.35,Regular,0.094279004,Fruits and Vegetables,86.3882,Small,Tier 2,Supermarket Type1,Foods,9.0,1545.9876
19.0,Regular,0.097709541,Frozen Foods,48.6718,Medium,Tier 3,Supermarket Type2,Foods,4.0,614.5334
9.195,Low Fat,0.114885647,Frozen Foods,59.6246,Small,Tier 1,Supermarket Type1,Foods,16.0,1100.5674
16.1,Regular,0.024987903,Fruits and Vegetables,97.341,Medium,Tier 1,Supermarket Type1,Foods,14.0,1255.033
18.2,Low Fat,0.086352403,Fruits and Vegetables,149.8734,Small,Tier 1,Grocery Store,Foods,28.0,445.4202
8.97,Non Edible,0.092937216,Household,54.6956,High,Tier 3,Supermarket Type1,Non Consumables,26.0,764.3384
19.7,Regular,0.018024769,Meat,104.499,Small,Tier 1,Supermarket Type1,Foods,16.0,1031.99
15.5,Regular,0.025409912,Baking Goods,83.2934,Medium,Tier 1,Supermarket Type1,Foods,14.0,1883.5482
7.02,Low Fat,0.081096635,Fruits and Vegetables,148.4734,High,Tier 3,Supermarket Type1,Foods,26.0,3563.3616
14.85,Regular,0.035456465,Fruits and Vegetables,162.2578,Small,Tier 2,Supermarket Type1,Foods,6.0,3690.5294
17.5,Low Fat,0.026848529,Frozen Foods,264.891,High,Tier 3,Supermarket Type1,Foods,26.0,4996.829
18.0,Low Fat,0.124645538,Frozen Foods,117.2124,Medium,Tier 1,Supermarket Type1,Foods,14.0,2133.2232
20.25,Regular,0.075791641,Dairy Foods,193.3794,Medium,Tier 3,Supermarket Type3,Foods,28.0,8388.4142
12.0,Low Fat,0.132275338,Baking Goods,123.8388,Small,Tier 1,Grocery Store,Foods,28.0,123.8388
14.5,Regular,0.097398254,Snack Foods,157.4262,Small,Tier 2,Supermarket Type1,Foods,11.0,3978.155
6.135,Regular,0.079312367,Baking Goods,151.7366,Small,Tier 2,Supermarket Type1,Foods,9.0,3325.0052
5.425,Regular,0.114472403,Baking Goods,88.3514,Small,Tier 1,Supermarket Type1,Foods,16.0,2833.6448
